job_id,train_id,cycle_code,target_mileage_km,lower_bound_km,upper_bound_km,earliest_allowed_at,latest_allowed_at,downtime_hours,splittable,location,status,blocking_reason
JOB-000001,EVS360-001,IS200,3550000,3545000,3555000,2032-01-05T08:10,2032-01-13T12:50,4,false,Obukhovo,pending,
JOB-000002,EVS360-001,IS600,3600000,3360000,3840000,2032-01-05T00:00,2032-09-03T12:50,384,false,Obukhovo,pending,
JOB-000003,EVS360-002,IS100,3562500,3561250,3563750,2032-01-05T17:20,2032-01-07T21:20,2,false,Obukhovo,pending,
JOB-000004,EVS360-002,IS600,3600000,3360000,3840000,2032-01-05T00:00,2032-08-21T17:20,384,false,Obukhovo,pending,
JOB-000005,EVS360-003,IS100,3387500,3386250,3388750,2032-01-11T20:50,2032-01-14T00:10,2,false,Obukhovo,pending,
JOB-000006,EVS360-003,IS600,3600000,3360000,3840000,2032-01-05T00:00,2033-01-18T14:50,384,false,Obukhovo,pending,
JOB-000007,EVS360-004,IS100,3262500,3261250,3263750,2032-01-08T14:50,2032-01-10T19:50,2,false,Obukhovo,pending,
JOB-000008,EVS360-004,IS530,3300000,3240000,3360000,2032-01-05T00:00,2032-03-29T21:20,36,true,Obukhovo,pending,
JOB-000009,EVS360-005,IS200,3125000,3120000,3130000,2032-01-09T08:10,2032-01-17T13:50,4,false,Obukhovo,pending,
JOB-000010,EVS360-005,IS520,3150000,3120000,3180000,2032-01-09T08:10,2032-02-27T08:35,16,true,Obukhovo,pending,
JOB-000011,EVS360-006,IS200,3475000,3470000,3480000,2032-01-05T00:00,2032-01-10T09:50,4,false,Obukhovo,pending,
JOB-000012,EVS360-006,IS600,3600000,3360000,3840000,2032-01-05T00:00,2032-10-31T14:10,384,false,Obukhovo,pending,
JOB-000013,EVS360-007,IS530,3300000,3240000,3360000,2032-01-05T00:00,2032-02-26T16:50,36,true,Obukhovo,pending,
JOB-000014,EVS360-008,IS510,3375000,3360000,3390000,2032-01-05T00:00,2032-01-21T12:50,10,true,Obukhovo,pending,
JOB-000015,EVS360-008,IS600,3600000,3360000,3840000,2032-01-05T00:00,2033-01-24T20:50,384,false,Obukhovo,pending,
JOB-000016,EVS360-009,IS200,3100000,3095000,3105000,2032-01-05T00:00,2032-01-11T12:50,4,false,Obukhovo,pending,
JOB-000017,EVS360-010,IS510,3225000,3210000,3240000,2032-01-05T00:00,2032-01-22T16:10,10,true,Obukhovo,pending,
JOB-000018,EVS360-011,IS200,2900000,2895000,2905000,2032-01-05T00:00,2032-01-09T20:50,4,false,Obukhovo,pending,
JOB-000019,EVS360-011,IS540,3000000,2880000,3120000,2032-01-05T00:00,2032-07-04T12:50,56,true,Obukhovo,pending,
JOB-000020,EVS360-013,IS200,2975000,2970000,2980000,2032-01-10T12:50,2032-01-18T20:35,4,false,Obukhovo,pending,
JOB-000021,EVS360-013,IS540,3000000,2880000,3120000,2032-01-05T00:00,2032-05-12T15:50,56,true,Obukhovo,pending,
JOB-000022,EVS360-014,IS200,2750000,2745000,2755000,2032-01-05T00:00,2032-01-12T18:10,4,false,Obukhovo,pending,
JOB-000023,EVS360-015,IS200,2725000,2720000,2730000,2032-01-05T00:00,2032-01-09T12:10,4,false,Obukhovo,pending,
JOB-000024,EVS360-016,IS100,2712500,2711250,2713750,2032-01-07T19:50,2032-01-09T22:50,2,false,Obukhovo,pending,
JOB-000025,EVS360-017,IS100,2437500,2436250,2438750,2032-01-05T00:00,2032-01-06T17:20,2,false,Obukhovo,pending,
JOB-000026,EVS360-018,IS100,2512500,2511250,2513750,2032-01-08T11:50,2032-01-10T15:20,2,false,Obukhovo,pending,
JOB-000027,EVS360-019,IS100,2537500,2536250,2538750,2032-01-10T16:10,2032-01-12T11:20,2,false,Obukhovo,pending,
JOB-000028,EVS360-019,IS520,2550000,2520000,2580000,2032-01-05T00:00,2032-02-15T10:10,16,true,Obukhovo,pending,
JOB-000029,EVS360-020,IS520,2250000,2220000,2280000,2032-01-05T00:00,2032-01-31T10:50,16,true,Obukhovo,pending,
JOB-000030,EVS360-020,IS700,2400000,1920000,2880000,2032-01-05T00:00,2033-06-06T20:10,575,false,Obukhovo,pending,
