trip_id,train_id,service_date,departure_time,arrival_time,origin,destination,distance_km,mileage_before_km,mileage_after_km
TRIP-000001,EVS360-021,2032-01-05,2032-01-05T06:00,2032-01-05T08:10,Saint Petersburg,Moscow,679,2371807,2372486
TRIP-000002,EVS360-001,2032-01-05,2032-01-05T06:00,2032-01-05T08:10,Moscow,Saint Petersburg,679,3544529,3545208
TRIP-000003,EVS360-022,2032-01-05,2032-01-05T06:15,2032-01-05T08:35,Saint Petersburg,Moscow,679,2250562,2251241
TRIP-000004,EVS360-002,2032-01-05,2032-01-05T06:15,2032-01-05T08:35,Moscow,Saint Petersburg,679,3560029,3560708
TRIP-000005,EVS360-003,2032-01-05,2032-01-05T06:30,2032-01-05T08:50,Moscow,Saint Petersburg,679,3377520,3378199
TRIP-000006,EVS360-023,2032-01-05,2032-01-05T06:30,2032-01-05T08:50,Saint Petersburg,Moscow,679,2225428,2226107
TRIP-000007,EVS360-004,2032-01-05,2032-01-05T07:00,2032-01-05T09:20,Moscow,Saint Petersburg,679,3256497,3257176
TRIP-000008,EVS360-024,2032-01-05,2032-01-05T07:00,2032-01-05T09:20,Saint Petersburg,Moscow,679,1981775,1982454
TRIP-000009,EVS360-025,2032-01-05,2032-01-05T07:15,2032-01-05T09:35,Saint Petersburg,Moscow,679,1831409,1832088
TRIP-000010,EVS360-026,2032-01-05,2032-01-05T07:30,2032-01-05T09:50,Saint Petersburg,Moscow,679,1975576,1976255
TRIP-000011,EVS360-005,2032-01-05,2032-01-05T07:30,2032-01-05T09:50,Moscow,Saint Petersburg,679,3115021,3115700
TRIP-000012,EVS360-006,2032-01-05,2032-01-05T08:00,2032-01-05T10:10,Moscow,Saint Petersburg,679,3473825,3474504
TRIP-000013,EVS360-027,2032-01-05,2032-01-05T08:00,2032-01-05T10:10,Saint Petersburg,Moscow,679,1896822,1897501
TRIP-000014,EVS360-028,2032-01-05,2032-01-05T08:30,2032-01-05T10:50,Saint Petersburg,Moscow,679,1717053,1717732
TRIP-000015,EVS360-007,2032-01-05,2032-01-05T08:30,2032-01-05T10:50,Moscow,Saint Petersburg,679,3295943,3296622
TRIP-000016,EVS360-029,2032-01-05,2032-01-05T09:00,2032-01-05T11:20,Saint Petersburg,Moscow,679,1555142,1555821
TRIP-000017,EVS360-008,2032-01-05,2032-01-05T09:00,2032-01-05T11:20,Moscow,Saint Petersburg,679,3369768,3370447
TRIP-000018,EVS360-009,2032-01-05,2032-01-05T09:30,2032-01-05T11:50,Moscow,Saint Petersburg,679,3097238,3097917
TRIP-000019,EVS360-030,2032-01-05,2032-01-05T09:30,2032-01-05T11:50,Saint Petersburg,Moscow,679,1509969,1510648
TRIP-000020,EVS360-031,2032-01-05,2032-01-05T10:00,2032-01-05T12:10,Saint Petersburg,Moscow,679,1545596,1546275
TRIP-000021,EVS360-010,2032-01-05,2032-01-05T10:00,2032-01-05T12:10,Moscow,Saint Petersburg,679,3218352,3219031
TRIP-000022,EVS360-032,2032-01-05,2032-01-05T10:15,2032-01-05T12:35,Saint Petersburg,Moscow,679,1388554,1389233
TRIP-000023,EVS360-011,2032-01-05,2032-01-05T10:15,2032-01-05T12:35,Moscow,Saint Petersburg,679,2899206,2899885
TRIP-000024,EVS360-012,2032-01-05,2032-01-05T10:30,2032-01-05T12:50,Moscow,Saint Petersburg,679,3076467,3077146
TRIP-000025,EVS360-033,2032-01-05,2032-01-05T10:30,2032-01-05T12:50,Saint Petersburg,Moscow,679,1461037,1461716
TRIP-000026,EVS360-034,2032-01-05,2032-01-05T11:00,2032-01-05T13:20,Saint Petersburg,Moscow,679,1304470,1305149
TRIP-000027,EVS360-013,2032-01-05,2032-01-05T11:00,2032-01-05T13:20,Moscow,Saint Petersburg,679,2963422,2964101
TRIP-000028,EVS360-035,2032-01-05,2032-01-05T11:30,2032-01-05T13:50,Saint Petersburg,Moscow,679,1151952,1152631
TRIP-000029,EVS360-014,2032-01-05,2032-01-05T11:30,2032-01-05T13:50,Moscow,Saint Petersburg,679,2746084,2746763
TRIP-000030,EVS360-036,2032-01-05,2032-01-05T12:00,2032-01-05T14:10,Saint Petersburg,Moscow,679,1164179,1164858
TRIP-000031,EVS360-015,2032-01-05,2032-01-05T12:00,2032-01-05T14:10,Moscow,Saint Petersburg,679,2724605,2725284
