train_id,model,status,is_hot_reserve,entry_date,initial_mileage_km,utilization_factor,initial_location
EVS360-001,EVS360,active,false,2028-04-01,3544529,1.0469,Moscow
EVS360-002,EVS360,active,false,2028-04-01,3560029,1.0515,Moscow
EVS360-003,EVS360,active,false,2028-04-01,3377520,0.9976,Moscow
EVS360-004,EVS360,active,false,2028-04-01,3256497,0.9619,Moscow
EVS360-005,EVS360,active,false,2028-04-01,3115021,0.9201,Moscow
EVS360-006,EVS360,active,false,2028-04-01,3473825,1.0261,Moscow
EVS360-007,EVS360,active,false,2028-05-01,3295943,0.9952,Moscow
EVS360-008,EVS360,active,false,2028-06-01,3369768,1.0416,Moscow
EVS360-009,EVS360,active,false,2028-07-01,3097238,0.9797,Moscow
EVS360-010,EVS360,active,false,2028-08-01,3218352,1.0432,Moscow
EVS360-011,EVS360,active,false,2028-09-01,2899206,0.9636,Moscow
EVS360-012,EVS360,active,false,2028-10-01,3076467,1.0483,Moscow
EVS360-013,EVS360,active,false,2028-11-01,2963422,1.0368,Moscow
EVS360-014,EVS360,active,false,2028-12-01,2746084,0.9862,Moscow
EVS360-015,EVS360,active,false,2029-01-01,2724605,1.0061,Moscow
EVS360-016,EVS360,active,false,2029-02-01,2708277,1.0291,Moscow
EVS360-017,EVS360,active,false,2029-03-01,2436746,0.9509,Moscow
EVS360-018,EVS360,active,false,2029-04-01,2507570,1.0086,Moscow
EVS360-019,EVS360,active,false,2029-05-01,2530089,1.0488,Moscow
EVS360-020,EVS360,active,false,2029-06-01,2248298,0.9625,Moscow
EVS360-021,EVS360,active,false,2029-07-01,2371807,1.0485,Saint Petersburg
EVS360-022,EVS360,active,false,2029-08-01,2250562,1.0297,Saint Petersburg
EVS360-023,EVS360,active,false,2029-09-01,2225428,1.0551,Saint Petersburg
EVS360-024,EVS360,active,false,2029-10-01,1981775,0.9737,Saint Petersburg
EVS360-025,EVS360,active,false,2029-11-01,1831409,0.9349,Saint Petersburg
EVS360-026,EVS360,active,false,2029-12-01,1975576,1.0480,Saint Petersburg
EVS360-027,EVS360,active,false,2030-01-01,1896822,1.0488,Saint Petersburg
EVS360-028,EVS360,active,false,2030-02-01,1717053,0.9912,Saint Petersburg
EVS360-029,EVS360,active,false,2030-03-01,1555142,0.9350,Saint Petersburg
EVS360-030,EVS360,active,false,2030-04-01,1509969,0.9515,Saint Petersburg
EVS360-031,EVS360,active,false,2030-05-01,1545596,1.0216,Saint Petersburg
EVS360-032,EVS360,active,false,2030-06-01,1388554,0.9666,Saint Petersburg
EVS360-033,EVS360,active,false,2030-07-01,1461037,1.0722,Saint Petersburg
EVS360-034,EVS360,active,false,2030-08-01,1304470,1.0142,Saint Petersburg
EVS360-035,EVS360,active,false,2030-09-01,1151952,0.9521,Saint Petersburg
EVS360-036,EVS360,active,false,2030-10-01,1164179,1.0249,Saint Petersburg
EVS360-037,EVS360,active,false,2030-11-01,1035879,0.9777,Saint Petersburg
EVS360-038,EVS360,active,false,2030-12-01,1053869,1.0692,Saint Petersburg
EVS360-039,EVS360,active,false,2031-01-01,968815,1.0655,Saint Petersburg
EVS360-040,EVS360,hot_reserve,true,2031-02-01,834757,1.0023,Moscow
EVS360-041,EVS360,hot_reserve,true,2031-03-01,781530,1.0231,Moscow
EVS360-042,EVS360,hot_reserve,true,2031-04-01,709244,1.0317,Saint Petersburg
EVS360-043,EVS360,hot_reserve,true,2031-05-01,643543,1.0489,Saint Petersburg
