trip_id,template_trip_id,source_trip_number,train_id,service_date,departure_time,arrival_time,origin,destination,distance_km,requires_cleaning_after
TRIP-000001,TURNOVER-001,701,EVS360-021,2032-01-05,2032-01-05T06:00,2032-01-05T08:10,Saint Petersburg,Moscow,679,false
TRIP-000002,TURNOVER-002,702,EVS360-001,2032-01-05,2032-01-05T06:00,2032-01-05T08:10,Moscow,Saint Petersburg,679,false
TRIP-000003,TURNOVER-003,715,EVS360-022,2032-01-05,2032-01-05T06:15,2032-01-05T08:35,Saint Petersburg,Moscow,679,false
TRIP-000004,TURNOVER-004,726,EVS360-002,2032-01-05,2032-01-05T06:15,2032-01-05T08:35,Moscow,Saint Petersburg,679,false
TRIP-000005,TURNOVER-005,712,EVS360-003,2032-01-05,2032-01-05T06:30,2032-01-05T08:50,Moscow,Saint Petersburg,679,false
TRIP-000006,TURNOVER-006,721,EVS360-023,2032-01-05,2032-01-05T06:30,2032-01-05T08:50,Saint Petersburg,Moscow,679,false
TRIP-000007,TURNOVER-007,746,EVS360-004,2032-01-05,2032-01-05T07:00,2032-01-05T09:20,Moscow,Saint Petersburg,679,false
TRIP-000008,TURNOVER-008,753,EVS360-024,2032-01-05,2032-01-05T07:00,2032-01-05T09:20,Saint Petersburg,Moscow,679,false
TRIP-000009,TURNOVER-009,741,EVS360-025,2032-01-05,2032-01-05T07:15,2032-01-05T09:35,Saint Petersburg,Moscow,679,false
TRIP-000010,TURNOVER-010,735,EVS360-026,2032-01-05,2032-01-05T07:30,2032-01-05T09:50,Saint Petersburg,Moscow,679,false
TRIP-000011,TURNOVER-011,750,EVS360-005,2032-01-05,2032-01-05T07:30,2032-01-05T09:50,Moscow,Saint Petersburg,679,false
TRIP-000012,TURNOVER-012,758,EVS360-006,2032-01-05,2032-01-05T08:00,2032-01-05T10:10,Moscow,Saint Petersburg,679,false
TRIP-000013,TURNOVER-013,761,EVS360-027,2032-01-05,2032-01-05T08:00,2032-01-05T10:10,Saint Petersburg,Moscow,679,false
TRIP-000014,TURNOVER-014,773,EVS360-028,2032-01-05,2032-01-05T08:30,2032-01-05T10:50,Saint Petersburg,Moscow,679,false
TRIP-000015,TURNOVER-015,774,EVS360-007,2032-01-05,2032-01-05T08:30,2032-01-05T10:50,Moscow,Saint Petersburg,679,false
TRIP-000016,TURNOVER-016,703,EVS360-029,2032-01-05,2032-01-05T09:00,2032-01-05T11:20,Saint Petersburg,Moscow,679,false
