template_trip_id,source_trip_number,departure_time,arrival_time,origin,destination,distance_km
TURNOVER-001,701,06:00,08:10,Saint Petersburg,Moscow,679
TURNOVER-002,702,06:00,08:10,Moscow,Saint Petersburg,679
TURNOVER-003,715,06:15,08:35,Saint Petersburg,Moscow,679
TURNOVER-004,726,06:15,08:35,Moscow,Saint Petersburg,679
TURNOVER-005,712,06:30,08:50,Moscow,Saint Petersburg,679
TURNOVER-006,721,06:30,08:50,Saint Petersburg,Moscow,679
TURNOVER-007,746,07:00,09:20,Moscow,Saint Petersburg,679
TURNOVER-008,753,07:00,09:20,Saint Petersburg,Moscow,679
TURNOVER-009,741,07:15,09:35,Saint Petersburg,Moscow,679
TURNOVER-010,735,07:30,09:50,Saint Petersburg,Moscow,679
TURNOVER-011,750,07:30,09:50,Moscow,Saint Petersburg,679
TURNOVER-012,758,08:00,10:10,Moscow,Saint Petersburg,679
TURNOVER-013,761,08:00,10:10,Saint Petersburg,Moscow,679
TURNOVER-014,773,08:30,10:50,Saint Petersburg,Moscow,679
TURNOVER-015,774,08:30,10:50,Moscow,Saint Petersburg,679
TURNOVER-016,703,09:00,11:20,Saint Petersburg,Moscow,679
TURNOVER-017,704,09:00,11:20,Moscow,Saint Petersburg,679
TURNOVER-018,722,09:30,11:50,Moscow,Saint Petersburg,679
TURNOVER-019,727,09:30,11:50,Saint Petersburg,Moscow,679
TURNOVER-020,745,10:00,12:10,Saint Petersburg,Moscow,679
TURNOVER-021,754,10:00,12:10,Moscow,Saint Petersburg,679
TURNOVER-022,713,10:15,12:35,Saint Petersburg,Moscow,679
TURNOVER-023,742,10:15,12:35,Moscow,Saint Petersburg,679
TURNOVER-024,718,10:30,12:50,Moscow,Saint Petersburg,679
TURNOVER-025,749,10:30,12:50,Saint Petersburg,Moscow,679
TURNOVER-026,757,11:00,13:20,Saint Petersburg,Moscow,679
TURNOVER-027,762,11:00,13:20,Moscow,Saint Petersburg,679
TURNOVER-028,707,11:30,13:50,Saint Petersburg,Moscow,679
TURNOVER-029,778,11:30,13:50,Moscow,Saint Petersburg,679
TURNOVER-030,705,12:00,14:10,Saint Petersburg,Moscow,679
TURNOVER-031,706,12:00,14:10,Moscow,Saint Petersburg,679
TURNOVER-032,714,12:30,14:50,Moscow,Saint Petersburg,679
TURNOVER-033,723,12:30,14:50,Saint Petersburg,Moscow,679
TURNOVER-034,748,13:00,15:20,Moscow,Saint Petersburg,679
TURNOVER-035,755,13:00,15:20,Saint Petersburg,Moscow,679
TURNOVER-036,784,13:30,15:50,Moscow,Saint Petersburg,679
TURNOVER-037,763,14:00,16:10,Saint Petersburg,Moscow,679
TURNOVER-038,766,14:00,16:10,Moscow,Saint Petersburg,679
TURNOVER-039,769,14:30,16:50,Saint Petersburg,Moscow,679
TURNOVER-040,776,14:30,16:50,Moscow,Saint Petersburg,679
TURNOVER-041,743,15:00,17:20,Saint Petersburg,Moscow,679
TURNOVER-042,752,15:00,17:20,Moscow,Saint Petersburg,679
TURNOVER-043,747,16:00,18:10,Saint Petersburg,Moscow,679
TURNOVER-044,756,16:00,18:10,Moscow,Saint Petersburg,679
TURNOVER-045,772,16:30,18:50,Moscow,Saint Petersburg,679
TURNOVER-046,775,16:30,18:50,Saint Petersburg,Moscow,679
TURNOVER-047,767,17:00,19:20,Saint Petersburg,Moscow,679
TURNOVER-048,764,17:30,19:50,Moscow,Saint Petersburg,679
TURNOVER-049,777,17:30,19:50,Saint Petersburg,Moscow,679
TURNOVER-050,708,18:00,20:10,Moscow,Saint Petersburg,679
TURNOVER-051,729,18:00,20:10,Saint Petersburg,Moscow,679
TURNOVER-052,720,18:15,20:35,Moscow,Saint Petersburg,679
TURNOVER-053,781,18:15,20:35,Saint Petersburg,Moscow,679
TURNOVER-054,711,18:30,20:50,Saint Petersburg,Moscow,679
TURNOVER-055,724,18:30,20:50,Moscow,Saint Petersburg,679
TURNOVER-056,733,19:00,21:20,Saint Petersburg,Moscow,679
TURNOVER-057,740,19:00,21:20,Moscow,Saint Petersburg,679
TURNOVER-058,779,19:30,21:50,Saint Petersburg,Moscow,679
TURNOVER-059,782,19:30,21:50,Moscow,Saint Petersburg,679
TURNOVER-060,759,20:00,22:10,Saint Petersburg,Moscow,679
TURNOVER-061,768,20:00,22:10,Moscow,Saint Petersburg,679
TURNOVER-062,744,20:15,22:35,Moscow,Saint Petersburg,679
TURNOVER-063,710,20:30,22:50,Moscow,Saint Petersburg,679
TURNOVER-064,751,20:30,22:50,Saint Petersburg,Moscow,679
TURNOVER-065,730,21:00,23:20,Moscow,Saint Petersburg,679
TURNOVER-066,771,21:00,23:20,Saint Petersburg,Moscow,679
TURNOVER-067,716,21:30,23:50,Moscow,Saint Petersburg,679
TURNOVER-068,725,21:30,23:50,Saint Petersburg,Moscow,679
TURNOVER-069,736,22:00,00:10,Moscow,Saint Petersburg,679
TURNOVER-070,739,22:00,00:10,Saint Petersburg,Moscow,679
